file_name,csv_read_time,binary_read_time,compare_time,csv_size_bits,bin_size_bits,compression_ratio,space_saving_percent,speedup,num_ships,raw_csv_line_count
AIS_2019_01_03,92640,7607,5114 ,5613426840,974250808,5.76179,82.6443,12.1783,13434,6724018
AIS_2019_01_04,95706,6930,5373 ,5801529208,1007131176,5.76045,82.6402,13.8104,13790,6951276
AIS_2019_01_02,98989,6474,5551 ,5989379856,1038358392,5.76812,82.6633,15.2902,13440,7169185
AIS_2019_01_01,103591,6428,5618 ,6284328488,1088209920,5.77492,82.6838,16.1156,13115,7516408
AIS_2019_01_05,75721,2902,4338 ,5719497512,992688008,5.76163,82.6438,26.0927,13715,6851182
AIS_2019_01_06,74847,5478,4578 ,5826017280,1009562368,5.77083,82.6715,13.6632,13629,6968635
AIS_2019_01_07,75057,5616,4350 ,5866220840,1018193928,5.7614,82.6431,13.3649,13887,7027781
AIS_2019_01_08,75669,5048,4374 ,5953679504,1032858160,5.76428,82.6518,14.9899,13772,7129984
AIS_2019_01_09,70961,6111,4962 ,6100161032,1053954480,5.78788,82.7225,11.612,12869,7279296
AIS_2019_01_11,64341,5684,4380 ,5623908856,975151192,5.76722,82.6606,11.3197,13633,6729637
AIS_2019_01_10,69813,5911,2337 ,5949919056,1028848512,5.78309,82.7082,11.8107,12932,7104760
AIS_2019_01_12,63059,5304,1887 ,5498525064,955924488,5.75205,82.6149,11.889,13102,6597763
AIS_2019_01_13,59999,5473,4023 ,5405555936,939820464,5.75169,82.6138,10.9627,13198,6485650
AIS_2019_01_14,63907,5654,4772 ,5663315152,981356872,5.7709,82.6717,11.303,13714,6772539
AIS_2019_01_15,64128,5532,4424 ,5576009840,967133464,5.7655,82.6555,11.5922,13548,6674239
AIS_2019_01_16,64570,5468,4593 ,5541442152,963645280,5.7505,82.6102,11.8087,13713,6649505
AIS_2019_01_17,64792,5535,4155 ,5516846424,959551216,5.7494,82.6069,11.7059,13718,6621056
AIS_2019_01_20,61216,5208,4111 ,5232572032,908810512,5.75761,82.6317,11.7542,12849,6271350
AIS_2019_01_19,63446,5375,4162 ,5432819544,943154560,5.76026,82.6397,11.8039,13637,6507461
AIS_2019_01_18,64362,5369,4195 ,5464161552,950280848,5.75005,82.6088,11.9877,13840,6556345
AIS_2019_01_21,61886,5396,1439 ,5369791520,933649784,5.7514,82.6129,11.4689,13527,6441796
AIS_2019_01_22,62732,2929,4280 ,5360307168,932708264,5.74704,82.5997,21.4175,13273,6436044
AIS_2019_01_23,63205,2802,4224 ,5357984248,932154344,5.74796,82.6025,22.5571,13100,6432706
AIS_2019_01_24,63715,2713,3998 ,5431662408,945162728,5.7468,82.599,23.4851,13312,6522433
AIS_2019_01_27,59861,5271,3564 ,5054283160,880196872,5.74222,82.5851,11.3567,13205,6071645
AIS_2019_01_25,64187,5713,4042 ,5460286568,950640288,5.7438,82.5899,11.2353,13725,6559256
AIS_2019_01_28,58560,5302,4026 ,5048069632,878953744,5.74327,82.5883,11.0449,13490,6062145
AIS_2019_01_26,62339,5402,3994 ,5280776856,920420224,5.73735,82.5704,11.54,13419,6350330
AIS_2019_01_29,50527,4486,3333 ,5056747144,881554032,5.73617,82.5668,11.2633,13923,6078897
AIS_2019_01_30,50543,4529,3432 ,5038662976,878889632,5.73299,82.5571,11.1599,13618,6061324
AIS_2019_01_31,51099,4473,3185 ,5128312320,894238920,5.73483,82.5627,11.4239,13138,6169366
